标题,路径,文件类型,匹配关键词,是否有PDF,PDF路径,是否读取全文,PDF页数,note是否乱码,乱码迹象,对DQN设定作用,是否可作正式方法依据,备注
===== PAGE 1 =====,D:\桌面\codex\zotero\logs\new_machine_single_paper_pdf_text.txt,.txt,EDI; aflatoxin; peanut,否,,否,,否,?????=0; �=0; mojibake=0,AFB1/MOE/EDI 风险度量背景。,可作为方法背景,
A Survey of Constraint Formulations in Safe Reinforcement Learning,D:\桌面\codex\zotero\data\deepreads\20260420_A Survey of Constraint Formulations in Safe Reinforcement Learning.md,.md,safe reinforcement learning; MDP; EDI; 抽检; 动态监管; 约束; 预算; 奖励; 损失,否,,否,,否,?????=0; �=0; mojibake=0,约束强化学习背景；用于提醒正式 DQN 需预算/产能/安全约束。,可作为方法背景,
Bayesian network modeling applied to food risks: Data from General Administration of Customs of China as an example,D:\桌面\codex\zotero\data\deepreads\20260415_Bayesian network modeling applied to food risks Data from General Administration of Customs of China as an example.md,.md,POMDP; MDP; EDI; 抽检; 动态监管; 信念,否,,否,,否,?????=0; �=0; mojibake=0,POMDP/belief-MDP 理论背景；用于支持信念状态建模。,可作为方法背景,
Big Data Impacting Dynamic Food Safety Risk Management in the Food Chain,D:\桌面\codex\zotero\data\deepreads\20260415_Big Data Impacting Dynamic Food Safety Risk Management in the Food Chain.md,.md,POMDP; MDP; 抽检; 约束; 奖励,是,D:\桌面\codex\zotero\data\pdfs\20260420_Multi-Criteria Decision Analysis in Food Safety Risk Management The Case of Dioxins in Baltic Fish.pdf,是，已遍历全文16页，可抽取文本字符数=69878，空文本页=0,16,否,?????=0; �=0; mojibake=0,POMDP/belief-MDP 理论背景；用于支持信念状态建模。,可作为方法背景,
"Big Data Impacting Dynamic Food Safety Risk Management in the Food Chain,John A. Donaghy; Michelle D. Danyluk; Tom Ross; Bobby Krishna; Jeff Farber,2021,Frontiers in Microbiology,1",D:\桌面\codex\zotero\data\candidates\first_round_candidates.csv,.csv,EDI,是,D:\桌面\codex\zotero\data\pdfs\20260420_Multi-Criteria Decision Analysis in Food Safety Risk Management The Case of Dioxins in Baltic Fish.pdf,是，已遍历全文16页，可抽取文本字符数=69878，空文本页=0,16,否,?????=2; �=0; mojibake=0,AFB1/MOE/EDI 风险度量背景。,可作为方法背景,
"Big Data Impacting Dynamic Food Safety Risk Management in the Food Chain,John A. Donaghy; Michelle D. Danyluk; Tom Ross; Bobby Krishna; Jeff Farber,2021,Frontiers in Microbiology,1",D:\桌面\codex\zotero\data\screened\first_round_selected.csv,.csv,EDI,是,D:\桌面\codex\zotero\data\pdfs\20260420_Multi-Criteria Decision Analysis in Food Safety Risk Management The Case of Dioxins in Baltic Fish.pdf,是，已遍历全文16页，可抽取文本字符数=69878，空文本页=0,16,否,?????=2; �=0; mojibake=0,AFB1/MOE/EDI 风险度量背景。,可作为方法背景,
DQN methods Zotero import,D:\桌面\codex\zotero\logs\20260425_dqn_methods_zotero_import.md,.md,DQN,否,,否,,否,?????=0; �=0; mojibake=0,DQN/Q-learning 方法背景；不能替代项目文档的 state/action/reward。,可作为方法背景,
Deepread formula and filename fix,D:\桌面\codex\zotero\logs\deepread_formula_and_filename_fix.md,.md,safe reinforcement learning; food safety monitoring; inspection strategy; EDI; 约束,否,,否,,否,?????=0; �=0; mojibake=0,约束强化学习背景；用于提醒正式 DQN 需预算/产能/安全约束。,可作为方法背景,
Default Search Queries,D:\桌面\codex\zotero\data\queries\default_search_queries.md,.md,POMDP; MDP; EDI,否,,否,,否,?????=0; �=0; mojibake=0,POMDP/belief-MDP 理论背景；用于支持信念状态建模。,可作为方法背景,
Designing optimal food safety monitoring schemes using Bayesian network and integer programming,D:\桌面\codex\zotero\data\deepreads\20260420_Designing optimal food safety monitoring schemes using Bayesian network and integer programming The case of monitoring dioxins and DL-PCBs.md,.md,POMDP; MDP; food safety monitoring; 抽检; 约束; 预算; 召回,否,,否,,否,?????=0; �=0; mojibake=0,POMDP/belief-MDP 理论背景；用于支持信念状态建模。,可作为方法背景,
Early warning predictions of contaminants in animal feed using machine learning,D:\桌面\codex\zotero\data\deepreads\20260420_Early warning predictions of contaminants in animal feed using machine learning.md,.md,EDI; 抽检; 约束; 预算; 损失; 召回,否,,否,,否,?????=0; �=0; mojibake=0,AFB1/MOE/EDI 风险度量背景。,可作为方法背景,
"Early warning predictions of contaminants in animal feed using machine learning,L. M. van den Bulk; R. G. Hobe; W. Hoenderdaal; D. Girzadas; A. Nijrolder; H. J. van der Fels-Klerx,",D:\桌面\codex\zotero\data\candidates\20260420_risk_based_monitoring_candidates.csv,.csv,food safety monitoring; EDI,否,,否,,否,?????=0; �=0; mojibake=0,AFB1/MOE/EDI 风险度量背景。,可作为方法背景,
"Early warning predictions of contaminants in animal feed using machine learning,L. M. van den Bulk; R. G. Hobe; W. Hoenderdaal; D. Girzadas; A. Nijrolder; H. J. van der Fels-Klerx,",D:\桌面\codex\zotero\data\screened\20260420_risk_based_monitoring_selected.csv,.csv,food safety monitoring; EDI,否,,否,,否,?????=0; �=0; mojibake=0,AFB1/MOE/EDI 风险度量背景。,可作为方法背景,
Final Workflow Upgrade,D:\桌面\codex\zotero\logs\final_workflow_upgrade.md,.md,抽检; 约束; 召回,否,,否,,否,?????=0; �=0; mojibake=0,相关背景，需人工判断是否纳入正式方法依据。,可作为方法背景,
First Round Literature Workflow Summary,D:\桌面\codex\zotero\logs\first_round_summary.md,.md,POMDP; MDP; 抽检; 召回,否,,否,,否,?????=0; �=0; mojibake=0,POMDP/belief-MDP 理论背景；用于支持信念状态建模。,可作为方法背景,
First Round Zotero Import Verify,D:\桌面\codex\zotero\logs\first_round_zotero_import_verify.md,.md,EDI,否,,否,,否,?????=0; �=0; mojibake=0,AFB1/MOE/EDI 风险度量背景。,可作为方法背景,
First Round Zotero MCP Check,D:\桌面\codex\zotero\logs\first_round_zotero_check.md,.md,DQN; EDI; peanut,否,,否,,否,?????=0; �=0; mojibake=0,DQN/Q-learning 方法背景；不能替代项目文档的 state/action/reward。,可作为方法背景,
"Human-level control through deep reinforcement learning,Volodymyr Mnih; Koray Kavukcuoglu; David Silver; Andrei A. Rusu; Joel Veness; Marc G. Bellemare; Alex Graves; Martin Riedmil",D:\桌面\codex\zotero\data\candidates\20260425_dqn_methods_candidates.csv,.csv,DQN; deep reinforcement learning; MDP; belief-MDP,否,,否,,否,?????=0; �=0; mojibake=0,DQN/Q-learning 方法背景；不能替代项目文档的 state/action/reward。,可作为方法背景,
"Human-level control through deep reinforcement learning,Volodymyr Mnih; Koray Kavukcuoglu; David Silver; Andrei A. Rusu; Joel Veness; Marc G. Bellemare; Alex Graves; Martin Riedmil",D:\桌面\codex\zotero\data\screened\20260425_dqn_methods_selected.csv,.csv,DQN; deep reinforcement learning; MDP; belief-MDP,否,,否,,否,?????=0; �=0; mojibake=0,DQN/Q-learning 方法背景；不能替代项目文档的 state/action/reward。,可作为方法背景,
Machine learning-aided risk-based inspection strategy for hydrogen technologies,D:\桌面\codex\zotero\data\deepreads\20260420_Machine learning-aided risk-based inspection strategy for hydrogen technologies.md,.md,inspection strategy; EDI; 抽检; 约束; 预算; 损失; 召回,否,,否,,否,?????=0; �=0; mojibake=0,AFB1/MOE/EDI 风险度量背景。,可作为方法背景,
"Machine learning-aided risk-based inspection strategy for hydrogen technologies,Alessandro Campari; Chiara Vianello; Federico Ustolin; Antonio Alvaro; Nicola Paltrinieri,2024,Proce",D:\桌面\codex\zotero\data\candidates\20260420_regulatory_risk_methods_candidates.csv,.csv,safe reinforcement learning; MDP; inspection strategy; EDI,否,,否,,否,?????=0; �=0; mojibake=0,约束强化学习背景；用于提醒正式 DQN 需预算/产能/安全约束。,可作为方法背景,
"Machine learning-aided risk-based inspection strategy for hydrogen technologies,Alessandro Campari; Chiara Vianello; Federico Ustolin; Antonio Alvaro; Nicola Paltrinieri,2024,Proce",D:\桌面\codex\zotero\data\screened\20260420_regulatory_risk_methods_selected.csv,.csv,safe reinforcement learning; MDP; inspection strategy; EDI,否,,否,,否,?????=0; �=0; mojibake=0,约束强化学习背景；用于提醒正式 DQN 需预算/产能/安全约束。,可作为方法背景,
Multi-Criteria Decision Analysis in Food Safety Risk Management: The Case of Dioxins in Baltic Fish,D:\桌面\codex\zotero\data\deepreads\20260420_Multi-Criteria Decision Analysis in Food Safety Risk Management The Case of Dioxins in Baltic Fish.md,.md,POMDP; MDP; 抽检; 预算; 损失; 召回,是,D:\桌面\codex\zotero\data\pdfs\20260420_Multi-Criteria Decision Analysis in Food Safety Risk Management The Case of Dioxins in Baltic Fish.pdf,是，已遍历全文16页，可抽取文本字符数=69878，空文本页=0,16,否,?????=0; �=0; mojibake=0,POMDP/belief-MDP 理论背景；用于支持信念状态建模。,可作为方法背景,
New Machine Bootstrap Summary,D:\桌面\codex\zotero\logs\new_machine_bootstrap_summary.md,.md,抽检,否,,否,,否,?????=0; �=0; mojibake=0,相关背景，需人工判断是否纳入正式方法依据。,可作为方法背景,
PDF Pipeline Smoketest,D:\桌面\codex\zotero\logs\pdf_pipeline_smoketest.md,.md,MDP,否,,否,,否,?????=0; �=0; mojibake=0,相关背景，需人工判断是否纳入正式方法依据。,可作为方法背景,
Raw Zotero API events,D:\桌面\codex\zotero\logs\20260420_zotero_import_raw.md,.md,food safety monitoring; EDI,否,,否,,否,?????=0; �=0; mojibake=0,AFB1/MOE/EDI 风险度量背景。,可作为方法背景,
"Risk-based food safety monitoring: seed record for workflow validation,,,fulltext_unavailable,unavailable,,,abstract-only,2026-04-20T19:30:41,",D:\桌面\codex\zotero\data\exports\pdf_link_candidates_smoketest.csv,.csv,food safety monitoring,否,,否,,否,?????=0; �=0; mojibake=0,风险导向监测/抽检优化背景。,可作为方法背景,
"Risk-based food safety monitoring: seed record for workflow validation,Workflow Seed,2026,Project Bootstrap,,,This seed row verifies the CSV schema and should be replaced after the",D:\桌面\codex\zotero\data\screened\screened_library.csv,.csv,food safety monitoring,是,D:\桌面\codex\zotero\data\pdfs\20260420_Multi-Criteria Decision Analysis in Food Safety Risk Management The Case of Dioxins in Baltic Fish.pdf,是，已遍历全文16页，可抽取文本字符数=69878，空文本页=0,16,否,?????=1; �=0; mojibake=0,风险导向监测/抽检优化背景。,可作为方法背景,
"Risk-based food safety monitoring: seed record for workflow validation,Workflow Seed,2026,Project Bootstrap,,,This seed row verifies the CSV schema and should be replaced by real l",D:\桌面\codex\zotero\data\candidates\master_candidates.csv,.csv,food safety monitoring,是,D:\桌面\codex\zotero\data\pdfs\20260420_Multi-Criteria Decision Analysis in Food Safety Risk Management The Case of Dioxins in Baltic Fish.pdf,是，已遍历全文16页，可抽取文本字符数=69878，空文本页=0,16,否,?????=1; �=0; mojibake=0,风险导向监测/抽检优化背景。,可作为方法背景,
Using Machine Learning to Predict Regulatory Fines: Enhancing Deterrence in White-Collar Financial Crime Enforcement,D:\桌面\codex\zotero\data\deepreads\20260420_Using Machine Learning to Predict Regulatory Fines Enhancing Deterrence in White-Collar Financial Crime Enforcement.md,.md,EDI; 抽检; 损失,否,,否,,否,?????=0; �=0; mojibake=0,AFB1/MOE/EDI 风险度量背景。,可作为方法背景,
Zotero Hybrid Write Check,D:\桌面\codex\zotero\logs\zotero_hybrid_write_check.md,.md,DQN; peanut,否,,否,,否,?????=0; �=0; mojibake=0,DQN/Q-learning 方法背景；不能替代项目文档的 state/action/reward。,可作为方法背景,
Zotero Write Diagnosis Round 2,D:\桌面\codex\zotero\logs\zotero_write_diagnosis_round2.md,.md,EDI,否,,否,,否,?????=0; �=0; mojibake=0,AFB1/MOE/EDI 风险度量背景。,可作为方法背景,
Zotero import for 20260420 risk-based monitoring,D:\桌面\codex\zotero\logs\20260420_zotero_import.md,.md,food safety monitoring; EDI,否,,否,,否,?????=0; �=0; mojibake=0,AFB1/MOE/EDI 风险度量背景。,可作为方法背景,
Zotero import for regulatory risk methods,D:\桌面\codex\zotero\logs\20260420_regulatory_methods_zotero_import.md,.md,safe reinforcement learning; MDP; inspection strategy; EDI,否,,否,,否,?????=0; �=0; mojibake=0,约束强化学习背景；用于提醒正式 DQN 需预算/产能/安全约束。,可作为方法背景,
Zotero 完整精读 Note 简版模板,D:\桌面\codex\zotero\templates\zotero_note_template.md,.md,POMDP; MDP; 抽检; 召回,否,,否,,否,?????=0; �=0; mojibake=0,POMDP/belief-MDP 理论背景；用于支持信念状态建模。,可作为方法背景,
deepread 文件必须保存到 `data/deepreads/`，文件名统一为：,D:\桌面\codex\zotero\templates\deepread_template.md,.md,召回,否,,否,,否,?????=0; �=0; mojibake=0,相关背景，需人工判断是否纳入正式方法依据。,可作为方法背景,
name: literature-screening,D:\桌面\codex\zotero\.agents\skills\literature-screening\SKILL.md,.md,约束,否,,否,,否,?????=0; �=0; mojibake=0,相关背景，需人工判断是否纳入正式方法依据。,可作为方法背景,
name: literature-search,D:\桌面\codex\zotero\.agents\skills\literature-search\SKILL.md,.md,POMDP; MDP; 抽检; 约束; 召回,否,,否,,否,?????=0; �=0; mojibake=0,POMDP/belief-MDP 理论背景；用于支持信念状态建模。,可作为方法背景,
name: scholar-search-fulltext,D:\桌面\codex\zotero\.agents\skills\scholar-search-fulltext\SKILL.md,.md,约束,否,,否,,否,?????=0; �=0; mojibake=0,相关背景，需人工判断是否纳入正式方法依据。,可作为方法背景,
"query_id,topic_block,method_block,exclude_block,query,priority,notes",D:\桌面\codex\zotero\data\queries\default_query_sets.csv,.csv,POMDP; MDP; EDI,否,,否,,否,?????=0; �=0; mojibake=0,POMDP/belief-MDP 理论背景；用于支持信念状态建模。,可作为方法背景,
已完成的本地框架检查,D:\桌面\codex\zotero\logs\workflow_checklist.md,.md,抽检,否,,否,,否,?????=0; �=0; mojibake=0,相关背景，需人工判断是否纳入正式方法依据。,可作为方法背景,
食品安全文献工作流,D:\桌面\codex\zotero\README.md,.md,safe reinforcement learning; food safety monitoring; inspection strategy; EDI; 抽检; 约束; 召回,否,,否,,否,?????=0; �=0; mojibake=0,约束强化学习背景；用于提醒正式 DQN 需预算/产能/安全约束。,可作为方法背景,
食品安全文献工作流项目规则,D:\桌面\codex\zotero\AGENTS.md,.md,POMDP; MDP; 抽检; 约束; 召回,否,,否,,否,?????=0; �=0; mojibake=0,POMDP/belief-MDP 理论背景；用于支持信念状态建模。,可作为方法背景,
Human-level control through deep reinforcement learning,D:\桌面\codex\zotero\data\deepreads\20260425_Human-level control through deep reinforcement learning.md,.md,DQN; deep reinforcement learning; MDP; belief-MDP; MOE; EDI,否,,否,,是,?????=40; �=0; mojibake=0,DQN/Q-learning 方法背景；不能替代项目文档的 state/action/reward。,否，note疑似乱码，需PDF/正式页面复核,
