文件路径,文件类型,生成目的,输入来源,生成方法,主要结果,如何阅读,论文相关部分,是否支持 formal 结论,局限性,人工注意
outputs/工作包/20260426_2056_推荐缓存删除与DQN修正版训练/03_图表输出/dqn_revised_policy_comparison.png,png,可视化训练、策略比较、约束或风险优先级，用于结果阅读和图表 QA。,outputs/工作包/20260426_2056_推荐缓存删除与DQN修正版训练,读取最新 DQN experimental 包并在本轮复核/解释/必要时生成替代说明。,具体结果需结合对应解释文件和源 CSV 阅读。,结合 figure_explanations.md 和源数据表读取，不从图像单独推出正式结论。,Results,否；仅支持 experimental results draft 或方法说明,未经过外部验证；当前 DQN 仍为 experimental。,formal DQN 前需确认参数、约束和外部验证。
outputs/工作包/20260426_2056_推荐缓存删除与DQN修正版训练/03_图表输出/dqn_revised_reward_curve.png,png,可视化训练、策略比较、约束或风险优先级，用于结果阅读和图表 QA。,outputs/工作包/20260426_2056_推荐缓存删除与DQN修正版训练,读取最新 DQN experimental 包并在本轮复核/解释/必要时生成替代说明。,具体结果需结合对应解释文件和源 CSV 阅读。,结合 figure_explanations.md 和源数据表读取，不从图像单独推出正式结论。,Results,否；仅支持 experimental results draft 或方法说明,未经过外部验证；当前 DQN 仍为 experimental。,formal DQN 前需确认参数、约束和外部验证。
outputs/工作包/20260426_2056_推荐缓存删除与DQN修正版训练/03_图表输出/dqn_revised_top_priority_risk.png,png,可视化训练、策略比较、约束或风险优先级，用于结果阅读和图表 QA。,outputs/工作包/20260426_2056_推荐缓存删除与DQN修正版训练,读取最新 DQN experimental 包并在本轮复核/解释/必要时生成替代说明。,具体结果需结合对应解释文件和源 CSV 阅读。,结合 figure_explanations.md 和源数据表读取，不从图像单独推出正式结论。,Appendix / Reproducibility,否；仅支持 experimental results draft 或方法说明,未经过外部验证；当前 DQN 仍为 experimental。,formal DQN 前需确认参数、约束和外部验证。
outputs/工作包/20260426_2056_推荐缓存删除与DQN修正版训练/03_图表输出/dqn_revised_training_curve.png,png,可视化训练、策略比较、约束或风险优先级，用于结果阅读和图表 QA。,outputs/工作包/20260426_2056_推荐缓存删除与DQN修正版训练,读取最新 DQN experimental 包并在本轮复核/解释/必要时生成替代说明。,具体结果需结合对应解释文件和源 CSV 阅读。,结合 figure_explanations.md 和源数据表读取，不从图像单独推出正式结论。,Method / Appendix,否；仅支持 experimental results draft 或方法说明,未经过外部验证；当前 DQN 仍为 experimental。,formal DQN 前需确认参数、约束和外部验证。
outputs/工作包/20260426_2056_推荐缓存删除与DQN修正版训练/03_图表输出/multi_model_comparison.png,png,可视化训练、策略比较、约束或风险优先级，用于结果阅读和图表 QA。,outputs/工作包/20260426_2056_推荐缓存删除与DQN修正版训练,读取最新 DQN experimental 包并在本轮复核/解释/必要时生成替代说明。,具体结果需结合对应解释文件和源 CSV 阅读。,结合 figure_explanations.md 和源数据表读取，不从图像单独推出正式结论。,Appendix / Reproducibility,否；仅支持 experimental results draft 或方法说明,未经过外部验证；当前 DQN 仍为 experimental。,formal DQN 前需确认参数、约束和外部验证。
outputs/工作包/20260426_2056_推荐缓存删除与DQN修正版训练/04_报告输出/action_space_feasibility_report.md,md,项目输出或说明文件。,本轮任务包或项目索引。,读取最新 DQN experimental 包并在本轮复核/解释/必要时生成替代说明。,具体结果需结合对应解释文件和源 CSV 阅读。,按 README 和对应解释索引阅读。,Appendix / Reproducibility,否；仅支持 experimental results draft 或方法说明,未经过外部验证；当前 DQN 仍为 experimental。,formal DQN 前需确认参数、约束和外部验证。
outputs/工作包/20260426_2056_推荐缓存删除与DQN修正版训练/04_报告输出/chart_quality_audit_report.md,md,项目输出或说明文件。,本轮任务包或项目索引。,读取最新 DQN experimental 包并在本轮复核/解释/必要时生成替代说明。,记录图表是否非空、是否 PNG、是否可解释。,按 README 和对应解释索引阅读。,Appendix / Reproducibility,否；仅支持 experimental results draft 或方法说明,未经过外部验证；当前 DQN 仍为 experimental。,formal DQN 前需确认参数、约束和外部验证。
outputs/工作包/20260426_2056_推荐缓存删除与DQN修正版训练/04_报告输出/dqn_revised_result_audit_report.md,md,项目输出或说明文件。,outputs/工作包/20260426_2056_推荐缓存删除与DQN修正版训练,读取最新 DQN experimental 包并在本轮复核/解释/必要时生成替代说明。,具体结果需结合对应解释文件和源 CSV 阅读。,按 README 和对应解释索引阅读。,Appendix / Reproducibility,否；仅支持 experimental results draft 或方法说明,未经过外部验证；当前 DQN 仍为 experimental。,formal DQN 前需确认参数、约束和外部验证。
outputs/工作包/20260426_2056_推荐缓存删除与DQN修正版训练/04_报告输出/dqn_revised_training_report.md,md,项目输出或说明文件。,outputs/工作包/20260426_2056_推荐缓存删除与DQN修正版训练,读取最新 DQN experimental 包并在本轮复核/解释/必要时生成替代说明。,具体结果需结合对应解释文件和源 CSV 阅读。,按 README 和对应解释索引阅读。,Method / Appendix,否；仅支持 experimental results draft 或方法说明,未经过外部验证；当前 DQN 仍为 experimental。,formal DQN 前需确认参数、约束和外部验证。
outputs/工作包/20260426_2056_推荐缓存删除与DQN修正版训练/04_报告输出/environment_audit_report.md,md,项目输出或说明文件。,本轮任务包或项目索引。,读取最新 DQN experimental 包并在本轮复核/解释/必要时生成替代说明。,具体结果需结合对应解释文件和源 CSV 阅读。,按 README 和对应解释索引阅读。,Appendix / Reproducibility,否；仅支持 experimental results draft 或方法说明,未经过外部验证；当前 DQN 仍为 experimental。,formal DQN 前需确认参数、约束和外部验证。
outputs/工作包/20260426_2056_推荐缓存删除与DQN修正版训练/04_报告输出/upstream_data_validation_report.md,md,项目输出或说明文件。,本轮任务包或项目索引。,读取最新 DQN experimental 包并在本轮复核/解释/必要时生成替代说明。,具体结果需结合对应解释文件和源 CSV 阅读。,按 README 和对应解释索引阅读。,Appendix / Reproducibility,否；仅支持 experimental results draft 或方法说明,未经过外部验证；当前 DQN 仍为 experimental。,formal DQN 前需确认参数、约束和外部验证。
outputs/工作包/20260426_2056_推荐缓存删除与DQN修正版训练/04_报告输出/推荐缓存项删除报告.md,md,项目输出或说明文件。,本轮任务包或项目索引。,读取最新 DQN experimental 包并在本轮复核/解释/必要时生成替代说明。,具体结果需结合对应解释文件和源 CSV 阅读。,按 README 和对应解释索引阅读。,Appendix / Reproducibility,否；仅支持 experimental results draft 或方法说明,未经过外部验证；当前 DQN 仍为 experimental。,formal DQN 前需确认参数、约束和外部验证。
outputs/工作包/20260426_2056_推荐缓存删除与DQN修正版训练/05_模型与实验/dqn_revised_model.pt,pt,保存模型、训练日志或实验账本，供可复现性与收敛诊断核验。,outputs/工作包/20260426_2056_推荐缓存删除与DQN修正版训练,读取最新 DQN experimental 包并在本轮复核/解释/必要时生成替代说明。,具体结果需结合对应解释文件和源 CSV 阅读。,按 README 和对应解释索引阅读。,Appendix / Reproducibility,否；仅支持 experimental results draft 或方法说明,未经过外部验证；当前 DQN 仍为 experimental。,formal DQN 前需确认参数、约束和外部验证。
outputs/工作包/20260426_2056_推荐缓存删除与DQN修正版训练/05_模型与实验/dqn_revised_training_log.csv,csv,保存模型、训练日志或实验账本，供可复现性与收敛诊断核验。,outputs/工作包/20260426_2056_推荐缓存删除与DQN修正版训练,读取最新 DQN experimental 包并在本轮复核/解释/必要时生成替代说明。,具体结果需结合对应解释文件和源 CSV 阅读。,先看字段解释和行列规模，再检查指标方向、单位和 evidence map。,Method / Appendix,否；仅支持 experimental results draft 或方法说明,未经过外部验证；当前 DQN 仍为 experimental。,formal DQN 前需确认参数、约束和外部验证。
outputs/工作包/20260426_2056_推荐缓存删除与DQN修正版训练/05_模型与实验/experiment_ledger.csv,csv,保存模型、训练日志或实验账本，供可复现性与收敛诊断核验。,本轮任务包或项目索引。,读取最新 DQN experimental 包并在本轮复核/解释/必要时生成替代说明。,具体结果需结合对应解释文件和源 CSV 阅读。,先看字段解释和行列规模，再检查指标方向、单位和 evidence map。,Appendix / Reproducibility,否；仅支持 experimental results draft 或方法说明,未经过外部验证；当前 DQN 仍为 experimental。,formal DQN 前需确认参数、约束和外部验证。
outputs/工作包/20260426_2056_推荐缓存删除与DQN修正版训练/05_模型与实验/qlearning_training_log.csv,csv,保存模型、训练日志或实验账本，供可复现性与收敛诊断核验。,本轮任务包或项目索引。,读取最新 DQN experimental 包并在本轮复核/解释/必要时生成替代说明。,具体结果需结合对应解释文件和源 CSV 阅读。,先看字段解释和行列规模，再检查指标方向、单位和 evidence map。,Method / Appendix,否；仅支持 experimental results draft 或方法说明,未经过外部验证；当前 DQN 仍为 experimental。,formal DQN 前需确认参数、约束和外部验证。
outputs/工作包/20260426_2056_推荐缓存删除与DQN修正版训练/06_配置参数/dqn_revised_experimental_config.yaml,yaml,项目输出或说明文件。,outputs/工作包/20260426_2056_推荐缓存删除与DQN修正版训练,读取最新 DQN experimental 包并在本轮复核/解释/必要时生成替代说明。,具体结果需结合对应解释文件和源 CSV 阅读。,按 README 和对应解释索引阅读。,Method / Appendix,否；仅支持 experimental results draft 或方法说明,未经过外部验证；当前 DQN 仍为 experimental。,formal DQN 前需确认参数、约束和外部验证。
outputs/工作包/20260426_2056_推荐缓存删除与DQN修正版训练/07_日志与错误/delete_error_log.md,md,项目输出或说明文件。,本轮任务包或项目索引。,读取最新 DQN experimental 包并在本轮复核/解释/必要时生成替代说明。,具体结果需结合对应解释文件和源 CSV 阅读。,按 README 和对应解释索引阅读。,Appendix / Reproducibility,否；仅支持 experimental results draft 或方法说明,未经过外部验证；当前 DQN 仍为 experimental。,formal DQN 前需确认参数、约束和外部验证。
outputs/工作包/20260426_2056_推荐缓存删除与DQN修正版训练/07_日志与错误/task_summary.json,json,项目输出或说明文件。,本轮任务包或项目索引。,读取最新 DQN experimental 包并在本轮复核/解释/必要时生成替代说明。,具体结果需结合对应解释文件和源 CSV 阅读。,按 README 和对应解释索引阅读。,Appendix / Reproducibility,否；仅支持 experimental results draft 或方法说明,未经过外部验证；当前 DQN 仍为 experimental。,formal DQN 前需确认参数、约束和外部验证。
outputs/工作包/20260426_2056_推荐缓存删除与DQN修正版训练/08_代码快照/run_recommended_delete_and_dqn_revised.py,py,记录执行或生成逻辑，便于复现和方法说明。,outputs/工作包/20260426_2056_推荐缓存删除与DQN修正版训练,读取最新 DQN experimental 包并在本轮复核/解释/必要时生成替代说明。,具体结果需结合对应解释文件和源 CSV 阅读。,结合 code_explanations.md 查看用途、输入输出、依赖和运行方式。,Method / Appendix,否；仅支持 experimental results draft 或方法说明,未经过外部验证；当前 DQN 仍为 experimental。,formal DQN 前需确认参数、约束和外部验证。
outputs/工作包/20260426_2056_推荐缓存删除与DQN修正版训练/09_论文输出/04_结果/results_draft.md,md,保存论文 Results 草稿、证据表或 DOCX 导出。,本轮任务包或项目索引。,读取最新 DQN experimental 包并在本轮复核/解释/必要时生成替代说明。,具体结果需结合对应解释文件和源 CSV 阅读。,按 README 和对应解释索引阅读。,Results,否；仅支持 experimental results draft 或方法说明,未经过外部验证；当前 DQN 仍为 experimental。,formal DQN 前需确认参数、约束和外部验证。
outputs/工作包/20260426_2056_推荐缓存删除与DQN修正版训练/09_论文输出/04_结果/results_evidence_table.csv,csv,保存论文 Results 草稿、证据表或 DOCX 导出。,本轮任务包或项目索引。,读取最新 DQN experimental 包并在本轮复核/解释/必要时生成替代说明。,具体结果需结合对应解释文件和源 CSV 阅读。,先看字段解释和行列规模，再检查指标方向、单位和 evidence map。,Results,否；仅支持 experimental results draft 或方法说明,未经过外部验证；当前 DQN 仍为 experimental。,formal DQN 前需确认参数、约束和外部验证。
outputs/工作包/20260426_2056_推荐缓存删除与DQN修正版训练/09_论文输出/09_word导出/docx_render_qa.md,md,保存论文 Results 草稿、证据表或 DOCX 导出。,本轮任务包或项目索引。,读取最新 DQN experimental 包并在本轮复核/解释/必要时生成替代说明。,具体结果需结合对应解释文件和源 CSV 阅读。,按 README 和对应解释索引阅读。,Results,否；仅支持 experimental results draft 或方法说明,未经过外部验证；当前 DQN 仍为 experimental。,formal DQN 前需确认参数、约束和外部验证。
outputs/工作包/20260426_2056_推荐缓存删除与DQN修正版训练/09_论文输出/09_word导出/rendered_pages/page-1.png,png,保存论文 Results 草稿、证据表或 DOCX 导出。,本轮任务包或项目索引。,读取最新 DQN experimental 包并在本轮复核/解释/必要时生成替代说明。,具体结果需结合对应解释文件和源 CSV 阅读。,结合 figure_explanations.md 和源数据表读取，不从图像单独推出正式结论。,Results,否；仅支持 experimental results draft 或方法说明,未经过外部验证；当前 DQN 仍为 experimental。,formal DQN 前需确认参数、约束和外部验证。
outputs/工作包/20260426_2056_推荐缓存删除与DQN修正版训练/09_论文输出/09_word导出/results_draft.docx,docx,保存论文 Results 草稿、证据表或 DOCX 导出。,本轮任务包或项目索引。,读取最新 DQN experimental 包并在本轮复核/解释/必要时生成替代说明。,具体结果需结合对应解释文件和源 CSV 阅读。,作为论文级草稿阅读，注意文中 experimental 标记。,Results,否；仅支持 experimental results draft 或方法说明,未经过外部验证；当前 DQN 仍为 experimental。,formal DQN 前需确认参数、约束和外部验证。
outputs/工作包/20260426_2056_推荐缓存删除与DQN修正版训练/manifest.csv,csv,项目输出或说明文件。,本轮任务包或项目索引。,读取最新 DQN experimental 包并在本轮复核/解释/必要时生成替代说明。,具体结果需结合对应解释文件和源 CSV 阅读。,先看字段解释和行列规模，再检查指标方向、单位和 evidence map。,Appendix / Reproducibility,否；仅支持 experimental results draft 或方法说明,未经过外部验证；当前 DQN 仍为 experimental。,formal DQN 前需确认参数、约束和外部验证。
