任务包路径,任务名称,任务开始时间,任务类型,输入文件,主要输出,是否完成,是否有错误,是否影响后续 pipeline,README 路径,run_id,run_path,created_at,task,status,experimental_boundary
outputs/工作包/20260426_1616_DQN文献增强建模方案与参数确认,DQN文献增强建模方案与参数确认,2026-04-26T16:16:00,formal_dqn_blocked,dqn_parameter_confirmation_table.csv; dqn_literature_enhanced_modeling_plan.md; dqn_readiness_audit_report.md,,,,,,,,,,,
outputs/工作包/20260426_1702_工作流自我升级机制构建,工作流自我升级机制构建,2026-04-26T17:02:00,ok,workflow_improvement; self_improvement skills; CLI dry-run; approval queue,,,,,,,,,,,
outputs/工作包/20260426_1718_一句话自动科研验收与补强,一句话自动科研验收与补强,2026-04-26T17:18:00,ok,one_line_acceptance_matrix.csv; one_line.py; one_line_research_dry_run.yaml,,,,,,,,,,,
outputs/工作包/20260426_1746_全流程验收与DQN自动参数训练,全流程验收与DQN自动参数训练,20260426_1746,one-line acceptance + experimental DQN GPU training,canonical belief-MDP/MOE-EDI state features; research plan; Zotero summaries; myenv1,peanut_dqn_auto_policy.csv; peanut_dqn_auto_policy_comparison.csv; peanut_dqn_auto_model.pt; one_line_full_workflow_execution_report.md,True,True,True,outputs/工作包/20260426_1746_全流程验收与DQN自动参数训练/README.md,,,,,,
outputs/工作包/20260426_1857_科研质量核验_顶级文献对标_工作流强化,20260426_1857_科研质量核验_顶级文献对标_工作流强化,20260426_1857,research_quality_system_upgrade,AGENTS.md; project_state; workflow_improvement; model_registry; skills,research_quality; top_journal_benchmark; quality skills; dry-run reports,True,False,True,outputs/工作包/20260426_1857_科研质量核验_顶级文献对标_工作流强化/README.md,,,,,,
outputs/工作包/20260426_2000_指定清理与DQN修正版继续实验,20260426_2000_指定清理与DQN修正版继续实验,20260426_2000,delete_scan_only,AGENTS.md; project_state; outputs/_index; experiments; reports; data/04_feature,delete_candidates.csv; recommended_delete_list.csv; 指定清理候选扫描报告.md,True,False,False,outputs/工作包/20260426_2000_指定清理与DQN修正版继续实验/README.md,,,,,,
outputs/工作包/20260426_2050_推荐缓存删除与DQN修正版训练,推荐缓存删除与DQN修正版训练,20260426_2050,缓存删除/DQN修正版experimental训练/多模型对比,recommended_delete_list.csv; data/04_feature/peanut_belief_mdp_state_features_with_moe_edi.csv,multi_model_policy_comparison.csv; dqn_revised_result_audit_report.md; results_draft.docx,True,False,True,outputs/工作包/20260426_2050_推荐缓存删除与DQN修正版训练/README.md,,,,,,
outputs/工作包/20260426_2054_推荐缓存删除与DQN修正版训练,推荐缓存删除与DQN修正版训练,20260426_2054,缓存删除/DQN修正版experimental训练/多模型对比,recommended_delete_list.csv; data/04_feature/peanut_belief_mdp_state_features_with_moe_edi.csv,multi_model_policy_comparison.csv; dqn_revised_result_audit_report.md; results_draft.docx,True,False,True,outputs/工作包/20260426_2054_推荐缓存删除与DQN修正版训练/README.md,,,,,,
outputs/工作包/20260426_2056_推荐缓存删除与DQN修正版训练,推荐缓存删除与DQN修正版训练,20260426_2056,缓存删除/DQN修正版experimental训练/多模型对比,recommended_delete_list.csv; data/04_feature/peanut_belief_mdp_state_features_with_moe_edi.csv,multi_model_policy_comparison.csv; dqn_revised_result_audit_report.md; results_draft.docx,True,False,True,outputs/工作包/20260426_2056_推荐缓存删除与DQN修正版训练/README.md,,,,,,
,,,,,,,,,,20260426_2245_DQN输出复核_解释体系与论文输出升级,outputs/工作包/20260426_2245_DQN输出复核_解释体系与论文输出升级,2026-04-26T22:45:10,DQN输出复核_解释体系与论文输出升级,completed,all DQN outputs remain experimental_not_formal
,,,,,,,,,,20260426_2245_DQN输出复核_解释体系与论文输出升级,outputs/工作包/20260426_2245_DQN输出复核_解释体系与论文输出升级,2026-04-26T22:45:37,DQN输出复核_解释体系与论文输出升级,completed,all DQN outputs remain experimental_not_formal
,,,,,,,,,,20260426_2249_DQN输出复核_解释体系与论文输出升级,outputs/工作包/20260426_2249_DQN输出复核_解释体系与论文输出升级,2026-04-26T22:49:43,DQN输出复核_解释体系与论文输出升级,completed,all DQN outputs remain experimental_not_formal
,,,,,,,,,,20260426_2252_DQN输出复核_解释体系与论文输出升级,outputs/工作包/20260426_2252_DQN输出复核_解释体系与论文输出升级,2026-04-26T22:52:15,DQN输出复核_解释体系与论文输出升级,completed,all DQN outputs remain experimental_not_formal
,,,,,,,,,,20260426_2254_DQN输出复核_解释体系与论文输出升级,outputs/工作包/20260426_2254_DQN输出复核_解释体系与论文输出升级,2026-04-26T22:54:52,DQN输出复核_解释体系与论文输出升级,completed,all DQN outputs remain experimental_not_formal
,,,,,,,,,,20260426_2317_输出解释就地化修正与DQN代码深度说明补强,outputs/工作包/20260426_2317_输出解释就地化修正与DQN代码深度说明补强,2026-04-26T23:17:57,输出解释就地化修正与DQN代码深度说明补强,completed,
,,,,,,,,,,20260426_2332_输出解释精简_项目存档与Word学术升级,outputs/工作包/20260426_2332_输出解释精简_项目存档与Word学术升级,2026-04-26T23:32:20,输出解释精简_项目存档与Word学术升级,completed,
,,,,,,,,,,20260426_2334_输出解释精简_项目存档与Word学术升级,outputs/工作包/20260426_2334_输出解释精简_项目存档与Word学术升级,2026-04-26T23:34:45,输出解释精简_项目存档与Word学术升级,completed,
,,,,,,,,,,20260426_2335_输出解释精简_项目存档与Word学术升级,outputs/工作包/20260426_2335_输出解释精简_项目存档与Word学术升级,2026-04-26T23:35:13,输出解释精简_项目存档与Word学术升级,completed,
,,,,,,,,,,20260426_2336_输出解释精简_项目存档与Word学术升级,outputs/工作包/20260426_2336_输出解释精简_项目存档与Word学术升级,2026-04-26T23:36:41,输出解释精简_项目存档与Word学术升级,completed,
